component_id,component_size,outer_fold,record_ids,datasets,exact_claim_hash_collision,exact_source_hash_collision,construction_rule
pair_component_0141,1,1,medfact_bench_1486,medaesqa,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0142,1,3,medfact_bench_1506,medaesqa,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0143,1,3,medfact_bench_1509,medaesqa,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0144,2,4,medfact_bench_152;medfact_bench_153,scifact,True,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0145,1,3,medfact_bench_1530,medaesqa,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0146,1,2,medfact_bench_154,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0147,1,4,medfact_bench_155,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0148,1,3,medfact_bench_157,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0149,1,2,medfact_bench_159,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0150,1,4,medfact_bench_1599,medaesqa,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0151,1,3,medfact_bench_160,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0152,2,1,medfact_bench_1602;medfact_bench_1603,medaesqa,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0153,1,1,medfact_bench_161,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0154,2,2,medfact_bench_1619;medfact_bench_1621,medaesqa,True,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0155,2,1,medfact_bench_162;medfact_bench_163,scifact,False,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0156,1,4,medfact_bench_1632,medaesqa,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0157,4,3,medfact_bench_1557;medfact_bench_1639;medfact_bench_1644;medfact_bench_1646,medaesqa,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0158,2,1,medfact_bench_1569;medfact_bench_1648,medaesqa,True,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0159,1,3,medfact_bench_165,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0160,13,1,medfact_bench_1573;medfact_bench_1576;medfact_bench_1578;medfact_bench_1588;medfact_bench_1654;medfact_bench_1656;medfact_bench_1673;medfact_bench_1722;medfact_bench_1723;medfact_bench_1724;medfact_bench_1725;medfact_bench_1726;medfact_bench_1727,medaesqa,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0161,1,2,medfact_bench_166,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0162,1,1,medfact_bench_167,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0163,3,2,medfact_bench_1581;medfact_bench_1676;medfact_bench_1738,medaesqa,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0164,1,3,medfact_bench_1698,medaesqa,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0165,1,2,medfact_bench_17,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0166,1,2,medfact_bench_1701,medaesqa,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0167,2,3,medfact_bench_170;medfact_bench_171,scifact,False,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0168,2,3,medfact_bench_172;medfact_bench_173,scifact,False,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0169,2,2,medfact_bench_1595;medfact_bench_1748,medaesqa,False,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0170,1,3,medfact_bench_1754,medaesqa,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0171,11,2,medfact_bench_1741;medfact_bench_1770;medfact_bench_1775;medfact_bench_1776;medfact_bench_1779;medfact_bench_1782;medfact_bench_1784;medfact_bench_1785;medfact_bench_1787;medfact_bench_1788;medfact_bench_1790,medaesqa,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0172,3,4,medfact_bench_177;medfact_bench_178;medfact_bench_179,scifact,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
