annotation_id,claim_id,dataset,annotator_a_path_relevance,annotator_a_evidence_role,annotator_a_error_type,annotator_b_path_relevance,annotator_b_evidence_role,annotator_b_error_type,final_path_relevance,final_evidence_role,final_error_type
eswa_bclean_0110,medfact_bench_1848,medaesqa,RELEVANT,SUPPORT,NONE,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY
eswa_bclean_0111,pubhealth_test_65,pubhealth,PARTIAL,CONTEXT_ONLY,POLARITY,PARTIAL,CONTEXT_ONLY,POLARITY,PARTIAL,CONTEXT_ONLY,POLARITY
eswa_bclean_0112,medfact_bench_1595,medaesqa,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0113,medfact_bench_223,scifact,IRRELEVANT,CONTEXT_ONLY,INDIRECT_BRIDGE,IRRELEVANT,CONTEXT_ONLY,INDIRECT_BRIDGE,IRRELEVANT,CONTEXT_ONLY,INDIRECT_BRIDGE
eswa_bclean_0114,pubhealth_validation_486,pubhealth,IRRELEVANT,REFUTE,POLARITY,RELEVANT,REFUTE,POLARITY,RELEVANT,REFUTE,POLARITY
eswa_bclean_0115,medfact_bench_1914,medaesqa,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE
eswa_bclean_0116,medfact_bench_100,scifact,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0117,medfact_bench_650,healthver,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0118,medfact_bench_150,scifact,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0119,pubhealth_test_444,pubhealth,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0120,medfact_bench_1686,medaesqa,PARTIAL,SUPPORT,INDIRECT_BRIDGE,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INDIRECT_BRIDGE
eswa_bclean_0121,medfact_bench_197,scifact,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH
eswa_bclean_0122,pubhealth_test_110,pubhealth,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0123,medfact_bench_55,scifact,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0124,medfact_bench_197,scifact,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0125,pubhealth_test_1068,pubhealth,IRRELEVANT,CONTEXT_ONLY,INDIRECT_BRIDGE,IRRELEVANT,CONTEXT_ONLY,INDIRECT_BRIDGE,IRRELEVANT,CONTEXT_ONLY,INDIRECT_BRIDGE
eswa_bclean_0126,medfact_bench_170,scifact,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0127,medfact_bench_205,scifact,IRRELEVANT,UNKNOWN,INSUFFICIENT_SPECIFICITY,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0128,medfact_bench_1877,medaesqa,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0129,medfact_bench_101,scifact,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0130,medfact_bench_1876,medaesqa,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0131,pubhealth_test_1205,pubhealth,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0132,pubhealth_validation_501,pubhealth,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0133,medfact_bench_742,healthver,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0134,pubhealth_validation_404,pubhealth,IRRELEVANT,CONTEXT_ONLY,INDIRECT_BRIDGE,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH
eswa_bclean_0135,medfact_bench_331,scifact,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0136,medfact_bench_1303,medaesqa,IRRELEVANT,UNKNOWN,RELATION_MISMATCH,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0137,medfact_bench_12,scifact,PARTIAL,CONTEXT_ONLY,POLARITY,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH
eswa_bclean_0138,medfact_bench_1435,medaesqa,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0139,medfact_bench_1599,medaesqa,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE
eswa_bclean_0140,medfact_bench_1931,medaesqa,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0141,medfact_bench_124,scifact,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0142,medfact_bench_1612,medaesqa,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,RELEVANT,SUPPORT,NONE,RELEVANT,SUPPORT,NONE
eswa_bclean_0143,pubhealth_test_423,pubhealth,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0144,medfact_bench_427,healthver,IRRELEVANT,CONTEXT_ONLY,RELATION_MISMATCH,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0145,pubhealth_validation_404,pubhealth,IRRELEVANT,CONTEXT_ONLY,INDIRECT_BRIDGE,IRRELEVANT,CONTEXT_ONLY,INDIRECT_BRIDGE,IRRELEVANT,CONTEXT_ONLY,INDIRECT_BRIDGE
eswa_bclean_0146,pubhealth_train_260,pubhealth,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0147,medfact_bench_1560,medaesqa,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,RELEVANT,SUPPORT,NONE,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY
eswa_bclean_0148,pubhealth_test_804,pubhealth,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0149,medfact_bench_1677,medaesqa,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0150,pubhealth_train_1571,pubhealth,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0151,medfact_bench_1714,medaesqa,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0152,medfact_bench_1713,medaesqa,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0153,pubhealth_validation_979,pubhealth,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0154,medfact_bench_1738,medaesqa,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY
eswa_bclean_0155,medfact_bench_1902,medaesqa,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE
eswa_bclean_0156,medfact_bench_10,scifact,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY
eswa_bclean_0157,pubhealth_validation_723,pubhealth,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0158,medfact_bench_126,scifact,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0159,medfact_bench_1445,medaesqa,IRRELEVANT,UNKNOWN,RELATION_MISMATCH,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0160,medfact_bench_298,scifact,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0161,medfact_bench_203,scifact,IRRELEVANT,CONTEXT_ONLY,INDIRECT_BRIDGE,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0162,pubhealth_train_1105,pubhealth,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0163,pubhealth_train_1437,pubhealth,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0164,medfact_bench_1836,medaesqa,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0165,pubhealth_train_1509,pubhealth,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0166,medfact_bench_131,scifact,RELEVANT,SUPPORT,NONE,PARTIAL,CONTEXT_ONLY,POLARITY,PARTIAL,CONTEXT_ONLY,POLARITY
eswa_bclean_0167,medfact_bench_1884,medaesqa,IRRELEVANT,UNKNOWN,INSUFFICIENT_SPECIFICITY,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0168,medfact_bench_202,scifact,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0169,medfact_bench_1445,medaesqa,IRRELEVANT,CONTEXT_ONLY,RELATION_MISMATCH,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0170,medfact_bench_792,healthver,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY
eswa_bclean_0171,pubhealth_train_238,pubhealth,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0172,pubhealth_validation_81,pubhealth,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0173,pubhealth_validation_1080,pubhealth,PARTIAL,CONTEXT_ONLY,ENTITY_LINKING,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY
eswa_bclean_0174,medfact_bench_1976,medaesqa,IRRELEVANT,CONTEXT_ONLY,ENTITY_LINKING,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,ENTITY_LINKING
eswa_bclean_0175,pubhealth_train_1318,pubhealth,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0176,pubhealth_test_767,pubhealth,IRRELEVANT,CONTEXT_ONLY,INDIRECT_BRIDGE,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0177,pubhealth_train_1840,pubhealth,IRRELEVANT,CONTEXT_ONLY,INDIRECT_BRIDGE,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0178,pubhealth_train_1237,pubhealth,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0179,pubhealth_validation_387,pubhealth,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0180,pubhealth_test_107,pubhealth,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0181,medfact_bench_1838,medaesqa,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY
eswa_bclean_0182,medfact_bench_121,scifact,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0183,pubhealth_test_1028,pubhealth,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0184,medfact_bench_121,scifact,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0185,pubhealth_test_444,pubhealth,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH
eswa_bclean_0186,pubhealth_test_262,pubhealth,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY
eswa_bclean_0187,pubhealth_test_173,pubhealth,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0188,pubhealth_validation_309,pubhealth,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0189,medfact_bench_1724,medaesqa,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0190,pubhealth_test_786,pubhealth,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,PARTIAL,CONTEXT_ONLY,ENTITY_LINKING,PARTIAL,CONTEXT_ONLY,ENTITY_LINKING
eswa_bclean_0191,pubhealth_train_1668,pubhealth,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0192,medfact_bench_320,scifact,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0193,medfact_bench_5,scifact,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0194,pubhealth_validation_435,pubhealth,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0195,medfact_bench_1921,medaesqa,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0196,medfact_bench_320,scifact,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE
eswa_bclean_0197,pubhealth_train_1254,pubhealth,PARTIAL,REFUTE,POLARITY,IRRELEVANT,UNKNOWN,POLARITY,IRRELEVANT,UNKNOWN,POLARITY
eswa_bclean_0198,pubhealth_test_317,pubhealth,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0199,pubhealth_validation_435,pubhealth,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0200,pubhealth_test_76,pubhealth,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
